token_1,BIO_tag_1
Pembangunan,o
,O
ekonomi,o
,O
tahun,o
,O
2023,o
,O
akan,O
,O
dilaksanakan,o
,O
untuk,O
,O
mendukung,o
,O
proses,o
,O
transformasi,o
,O
ekonomi,o
,O
setelah,O
,O
pada,O
,O
tahun,o
,O
sebelumnya,o
,O
dihadapkan,o
,O
pada,O
,O
pemulihan,o
,O
ekonomi,o
,O
dan,O
,O
penanganan,o
,O
pandemi,o
,O
COVID,o
-,O
19,o
.,o
,O
Tahun,o
,o
2023,o
,O
merupakan,o
,O
momentum,o
,o
untuk,O
,O
menciptakan,o
,O
horizon,o
,O
baru,o
,O
pembangunan,o
,O
dengan,O
,O
menekankan,o
,O
pada,O
,O
strategi,o
,O
mewujudkan,o
,O
SDM,o
,O
berdaya,o
,O
saing,o
,O
produktivitas,o
,O
sektor,o
,O
ekonomi,o
,O
ekonomi,o
,O
hijau,o
,O
transformasi,o
,O
digital,o
,O
integrasi,o
,O
perekonomian,o
,O
domestik,o
,O
dan,O
,O
pemindahan,o
,O
IKN,o
,o
Proses,o
,o
transformasi,o
,o
ekonomi,o
,O
yang,O
,O
dilaksanakan,o
,O
oleh,O
,O
sektor,o
,O
energi,o
,O
sumber,o
,O
daya,o
,O
air,o
,O
UMKM,o
,o
pariwisata,o
,O
pertanian,o
,O
industri,o
,O
perdagangan,o
,O
keuangan,o
,O
dan,O
,O
sektor,
,O
lainnya,
,O
akan,O
,O
menghadapi,
,O
tantangan,
,O
yang,O
,O
membutuhkan,
,O
kebijakan,
,O
dan,O
,O
strategi,
,O
untuk,O
,O
dapat,O
,O
mencapai,O
,O
sasaran,b-sasaran
,O
pembangunan,o
,O
nasional,o
.,o
,O
Untuk,O
,O
mendukung,o
,O
pemenuhan,o
,O
kebutuhan,o
,O
energi,o
,O
dengan,O
,O
mengutamakan,o
,O
peningkatan,o
,O
Energi,b-datain
,O
Baru,i-datain
,O
Terbarukan,e-datain
,O
(,o
EBT,b-datain
),o
,O
tantangan,o
,O
yang,O
,O
dihadapi,o
,O
terkait,o
,O
fokus,o
,O
produktivitas,o
,O
adalah,O
,O
tingginya,o
,O
ketergantungan,o
,O
terhadap,O
,O
energi,o
,O
fosil,o
,O
yang,O
,O
produktivitasnya,o
,O
semakin,o
,O
menurun,o
,O
dan,O
,O
berkontribusi,o
,O
terhadap,O
,O
defisit,o
,O
perdagangan,o
,O
dan,O
,O
nilai,o
,O
transaksi,o
,O
berjalan,o
,O
yang,O
,O
turut,o
,O
menurunkan,o
,O
potensi,o
,O
pertumbuhan,o
,O
ekonomi,o
,O
nasional,o
.,o
,O
Tantangan,o
,O
yang,O
,O
terkait,o
,O
fokus,o
,O
pembangunan,o
,O
berkelanjutan,o
,O
adalah,O
,O
(,o
1,o
),o
,O
pengembangan,o
,O
EBT,b-datain
,O
masih,O
,O
terkendala,o
,O
dengan,O
,O
belum,O
,O
kompetitifnya,o
,O
harga,o
,O
jual,o
,O
dan,O
,O
(,o
2,o
),o
,O
pengembangan,o
,O
EBT,b-datain
,O
berbasis,o
,O
kelapa,o
,O
sawit,o
,O
masih,O
,O
bersinggungan,o
,O
dengan,O
,O
isu,o
,O
konservasi,o
,O
dan,O
,O
keberlanjutan,o
.,O
,O
Adapun,o
,O
tantangan,o
,O
yang,O
,O
terkait,o
,O
fokus,o
,O
inklusif,o
,O
yaitu,O
,O
(,o
1,o
),o
,O
kebijakan,o
,O
subsidi,o
,O
dan,O
,O
insentif,o
,O
yang,O
,O
belum,O
,O
optimal,o
,O
(,o
2,o
),o
,O
kondisi,o
,O
kelistrikan,o
,O
yang,O
,O
over,o
-,O
supply,o
,O
di,O
,O
beberapa,o
,O
daerah,o
,O
sementara,O
,O
akses,o
,O
masyarakat,o
,O
daerah,o
,O
tertinggal,o
,O
pada,O
,O
energi,o
,O
khususnya,o
,O
EBT,b-datain
,O
skala,o
,O
kecil,o
,O
masih,O
,O
sangat,o
,O
terbatas,o
,O
dengan,O
,O
adanya,o
,O
keterbatasan,o
,O
kewenangan,o
,O
pemerintah,o
,O
daerah,o
,O
dan,O
,O
(,o
3,o
),o
,O
faktor,o
,O
intermittence,o
,O
dari,O
,O
beberapa,o
,O
teknologi,o
,O
Pembangkit,o
,O
Listrik,o
,O
Teknologi,o
,O
(,O
PLT,o
),O
,O
EBT,b-datain
.,O
,O
Indikator,b-predikat
,O
target,b-predikat
,
sasaran,b-sasaran
,O
prioritas,b-pn
,O
nasional,e-pn
,O
rencana,b-rkp
,O
kerja,i-rkp
,O
pemerintah,e-rkp
,O
rkp,b-rkp
,O
rpjmn,b-rpjmn
,O
rencana,b-rpjmn
,O
pembangunan,i-rpjmn
,O
jangka,i-rpjmn
,O
menengah,e-rpjmn
